strategy,sparsity_pct,split,method,n_buildings,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
random,0.05,test_ny,F1_nn,728,14.936490035615861,23.15965605371572,-11.7316823093282,4.198703765869141,39.38103256225586,0.43939499052947717,0.3599017121162201,18.32912697410401,19.016117886600778,0.057690884394072627,0.8538812766617766
random,0.05,test_ny,F2_linear,728,15.27298993695077,22.799777964773227,-11.145685380406595,4.972972869873047,39.04357490539551,0.4392375162236291,0.3566255806571607,18.59522489107081,19.482818441386794,0.07847194852929648,0.8198551246161757
random,0.05,test_ny,F4_depth_affine,728,26.791402122973864,30.605571059320795,-24.286218635882115,34.33688545227051,40.40942418811274,0.1012485316170665,-0.1405422586082862,34.96986028546374,38.07811628295773,-0.9987431517526797,-0.9172533471563603
random,0.05,test_ny,D_sparse_mono,728,26.791402122973864,30.605571059320795,-24.286218635882115,34.33688545227051,40.40942418811274,0.1012485316170665,-0.1405422586082862,34.96986028546374,38.07811628295773,-0.9987431517526797,-0.9172533471563603
random,0.05,test_ny,E_sparse_coarse,728,21.04362125981952,23.62494234164196,-19.269990254964956,25.17513132095337,31.67910900115967,0.6211092815574747,0.4983343302258999,27.256359914492588,29.60344816261614,-0.5115385602903474,-0.45862668583637245
random,0.1,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
random,0.1,test_ny,B_monocular,728,21.011705367181165,27.345655365243573,15.002603730064008,15.519070625305176,47.99007129669191,0.13607553843566203,0.028974297732292657,13.871470599271813,16.826632231054173,1.299508337226556,0.9680564247216579
random,0.1,test_ny,F1_nn,728,11.30789948509786,19.46527399756487,-9.343105209665117,0.6242642402648926,38.86616973876953,0.6074134582715149,0.52474068992352,13.685517453904055,11.904265010860604,0.4969535953759748,0.9955118162109129
random,0.1,test_ny,F2_linear,728,11.537909388194208,18.961055698089858,-8.624332295270166,2.162670135498047,37.85772171020508,0.6129212954639651,0.5227501805895507,13.984674426974083,12.136943718287307,0.5454888684622102,1.0171272163789782
random,0.1,test_ny,F4_depth_affine,728,28.163827556991386,31.842740915754845,-25.507633318004956,36.27855700141299,40.3230261881491,0.04375676244276967,-0.27471236264279697,36.82057095187509,37.94794881401602,-0.9975961326427101,-0.9270818831280532
